Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature
2000,1,2.33793011451174e-06,2.5978629128076137e-05,275.51332194010416,3.4184738477071126,2.8316854877630248e-05,274.7118326822917
2000,2,1.831824713841949e-06,1.6846623505747024e-05,277.1663533528646,2.8532922824223834,1.8678419534505033e-05,276.66370951334636
2000,3,0.0,1.4589731169204848e-05,284.6539723714193,3.039056634902954,1.4589731169204848e-05,284.7115224202474
2000,4,0.0,1.820130558674767e-05,291.3384145100911,2.902063488960266,1.820130558674767e-05,291.2559102376302
2000,5,0.0,5.1634959769823276e-05,296.8020395914713,2.5161469697952272,5.1634959769823276e-05,296.71327006022136
2000,6,0.0,9.469916646291192e-05,298.7728210449219,2.333881115913391,9.469916646291192e-05,298.69371134440104
2000,7,0.0,3.863686846064714e-05,301.3367665608724,2.4040640433629354,3.863686846064714e-05,301.7220733642578
2000,8,0.0,5.804670654470101e-05,299.9158070882161,2.170052901903788,5.804670654470101e-05,299.64268900553384
2000,9,0.0,3.937966636537264e-05,295.54718729654945,2.6527487993240357,3.937966636537264e-05,296.0086924235026
2000,10,0.0,3.8202137269157295e-05,290.2972646077474,2.5830480178197224,3.8202137269157295e-05,290.08172709147135
2000,11,4.093055563370029e-08,2.9144541804271286e-05,282.54604288736977,2.9371214071909586,2.9185416678956244e-05,282.17844543457034
2000,12,4.1895161266107074e-08,7.651061741853482e-06,279.9043477376302,2.9264679829279583,7.692957008960851e-06,279.5734354654948
2001,1,5.474018833713975e-06,3.113653225833938e-05,276.8632080078125,3.3703957398732505,3.661040354927536e-05,276.4712829589844
2001,2,3.2453571501870707e-06,1.5976205274152257e-05,278.78106994628905,3.0759275436401365,1.9221592234922962e-05,278.53468322753906
2001,3,4.166666687603164e-09,1.4013010786584346e-05,285.0707285563151,3.482571991284688,1.4017123703524703e-05,285.3899180094401
2001,4,0.0,4.156181930738967e-05,289.3091969807943,2.9863173882166545,4.156181930738967e-05,289.526117960612
2001,5,0.0,1.6051088762954654e-05,296.6343994140625,2.1746597011884052,1.6051088762954654e-05,296.2503987630208
2001,6,0.0,5.682469466895175e-05,297.17144877115885,2.444027304649353,5.682469466895175e-05,296.7734639485677
2001,7,0.0,4.7541639893703784e-05,302.223393758138,2.2294813553492228,4.7541639893703784e-05,302.3007527669271
2001,8,0.0,5.611233924961804e-05,298.9852681477865,2.1058892091115315,5.611233924961804e-05,299.144091796875
2001,9,0.0,2.383430561773518e-06,295.871299235026,2.863398575782776,2.383430561773518e-06,296.22319844563805
2001,10,0.0,1.9006236531519486e-05,290.6554016113281,2.654727061589559,1.9006236531519486e-05,290.4339874267578
2001,11,0.0,1.0535166651000811e-05,283.92368977864584,2.590942708651225,1.0535166651000811e-05,283.51844380696616
2001,12,2.2355779700925876e-06,2.0429018756355315e-05,276.7869934082031,3.4544196287790934,2.2664502709327886e-05,276.6711730957031
2002,1,8.316935482829043e-07,1.4140228389199668e-05,278.8118835449219,2.755625112851461,1.4972163990023546e-05,278.5314585367839
2002,2,1.634970246300327e-07,1.7953437691176077e-05,281.1641825358073,3.0850940704345704,1.8117038689524633e-05,281.13714294433595
2002,3,0.0,5.043212331656832e-05,285.33827209472656,2.960483686129252,5.043212331656832e-05,285.2477752685547
2002,4,0.0,6.224072203622199e-05,289.659141031901,3.0813992818196616,6.224072203622199e-05,289.4532440185547
2002,5,0.0,6.317412650484282e-05,292.584721883138,2.468958044052124,6.317412650484282e-05,292.3394012451172
2002,6,0.0,9.215056925313548e-05,299.10825398763023,2.457449285189311,9.215056925313548e-05,299.0389902750651
2002,7,0.0,6.133553761173971e-05,300.8860117594401,1.9692738374074301,6.133553761173971e-05,301.26320292154946
2002,8,0.0,5.7962244560864444e-05,298.81879170735675,2.232617163658142,5.7962244560864444e-05,299.1784901936849
2002,9,0.0,2.099188883827689e-05,295.6878997802734,2.6990904966990152,2.099188883827689e-05,295.9720855712891
2002,10,0.0,2.601216395608693e-05,290.43767801920575,2.869456481933594,2.601216395608693e-05,290.3958048502604
2002,11,2.999999977141658e-09,8.357736093482042e-06,283.38250325520835,2.8547634919484457,8.360763869556346e-06,283.00647888183596
2002,12,5.503629064188924e-07,3.881263437506277e-05,277.3634073893229,3.159842681884766,3.936299702521258e-05,277.00746561686196
2003,1,3.4386155827329884e-06,8.273911271317047e-06,275.3790679931641,3.1805664698282876,1.1712513302578979e-05,275.0159932454427
2003,2,1.1135863151897259e-06,2.962136913993163e-05,279.0154327392578,2.943301248550415,3.073500004878345e-05,278.6561533610026
2003,3,4.838709746768366e-09,4.232534920447506e-05,282.5937428792318,3.317653210957845,4.233016091651128e-05,282.21282552083335
2003,4,0.0,6.105240281613078e-05,288.27464701334634,2.852054651578267,6.105240281613078e-05,288.2042633056641
2003,5,0.0,3.145889792601035e-05,293.8287373860677,2.2918227990468343,3.145889792601035e-05,293.2949645996094
2003,6,0.0,9.066238853847609e-05,298.1986857096354,2.4072103261947633,9.066238853847609e-05,297.79347534179686
2003,7,0.0,0.00011084657283693863,300.80865173339845,2.109251312414805,0.00011084657283693863,301.0392659505208
2003,8,0.0,6.712916632144091e-05,300.2063486735026,2.1904131968816123,6.712916632144091e-05,300.33521931966146
2003,9,0.0,2.8304110916603046e-05,296.3345896402995,2.162256042162577,2.8304110916603046e-05,296.32895914713544
2003,10,0.0,2.71813978542923e-05,288.655918375651,2.642556571960449,2.71813978542923e-05,288.69724527994794
2003,11,2.777777822574971e-11,1.9747472288145217e-05,283.2232228597005,3.0133171319961547,1.9747486173097666e-05,282.91538594563804
2003,12,3.6502688232076254e-07,4.297540340303385e-06,276.8578338623047,2.469194253285726,4.6626075345557185e-06,276.4643046061198
2004,1,3.059099473527264e-06,1.0665430090739392e-05,275.7903991699219,2.650435225168864,1.3724408654525178e-05,275.5424112955729
2004,2,3.2326149986457625e-07,1.8914324755314738e-05,282.048545328776,3.201171708106995,1.923757184461768e-05,281.5012990315755
2004,3,5.39381721361328e-08,1.733440861547327e-05,283.2762145996094,3.1576483647028604,1.7388346774775223e-05,282.59003092447915
2004,4,0.0,3.558554150610386e-05,290.21429341634115,2.95969873269399,3.558554150610386e-05,290.0080200195313
2004,5,0.0,5.621614230525059e-05,294.20184427897135,2.486302622159322,5.621614230525059e-05,294.05695292154945
2004,6,0.0,6.894455533862735e-05,297.1892059326172,2.0250207742055255,6.894455533862735e-05,296.9946655273437
2004,7,0.0,6.246061845255705e-05,301.03758748372394,2.0888747930526734,6.246061845255705e-05,301.7543955485026
