Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature
2000.0,6.5,4.2192157226339516e-07,3.724302020107946e-05,289.30192565917963,3.0727332731088004,3.766499178065412e-05,289.0530089060465
2001.0,6.5,8.262633198915375e-07,3.1630368992334e-05,289.27651074727373,3.072462134559949,3.245665666516591e-05,289.11183255513504
2002.0,6.5,2.3754111957245232e-07,4.0968028417864854e-05,289.49199396769205,2.9627586543560027,4.120558057062832e-05,289.2626655578613
2003.0,6.5,4.7651779637597943e-07,4.12268438007383e-05,288.8428359985351,2.890148628751437,4.170337133473367e-05,288.6403039296468
2004.0,6.5,1.4655940549325916e-06,3.1087408946935596e-05,289.5355405171712,2.8521206319332126,3.255300954852676e-05,289.40601094563806
2005.0,6.5,9.612099214499163e-07,4.320645214382543e-05,289.0892911275228,2.8798844953378038,4.416764654138205e-05,289.17981211344403
2006.0,6.5,5.250798053375167e-07,3.829318962213317e-05,289.64943771362306,2.7992701778809237,3.8818288392879666e-05,289.7184448242187
2007.0,6.5,1.724198364569385e-08,3.95189944735345e-05,289.7969230651856,2.7674481978019077,3.9536236674090715e-05,289.7691881815592
2008.0,6.5,3.0500998561084953e-06,3.5937137141199105e-05,288.58677177429206,2.6974429607391364,3.8987237161336445e-05,289.00666974385587
2009.0,6.5,3.6553417033999284e-07,3.996855323483335e-05,289.1669873555502,2.734140497446061,4.033412463968489e-05,289.27017936706545
2010.0,6.5,1.1387208346036456e-06,4.0854521677147206e-05,288.625580851237,2.844531770547231,4.199323451340812e-05,288.73180656433107
2011.0,6.5,2.2937877907451092e-07,3.4189342629827506e-05,288.8640000661214,2.7580122421185176,3.4418688787714786e-05,288.72157300313313
2012.0,6.5,5.755207166761404e-07,4.240720198443645e-05,288.73624890645345,3.0040181984504066,4.298271237909527e-05,288.8818923950195
2013.0,6.5,2.470156509041625e-07,3.3986955065756776e-05,289.37746047973627,2.9390857418378196,3.423396711544531e-05,289.6937049865723
2014.0,6.5,2.2819250490857538e-07,3.634178598683017e-05,289.3199522654216,2.871512598792712,3.6569971427979915e-05,289.4331470489503
2015.0,6.5,7.64325315052994e-09,5.286672174709868e-05,289.35339317321774,3.4173292845487597,5.28743650988872e-05,289.79731826782233
2016.0,6.5,1.2138611754641812e-07,5.625186271913664e-05,289.46606318155926,3.3237518499294914,5.6373250398185826e-05,289.86057573954264
2017.0,6.5,4.1933683875283724e-08,4.031666956241982e-05,289.7345504760743,3.0515315761168793,4.0358605089825984e-05,290.26503384908045
