Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature
2000.0,6.5,6.043050923066248e-07,4.3243983837252625e-05,289.51288655598955,3.361081301172575,4.384829050915566e-05,289.22065798441577
2001.0,6.5,5.270749706236254e-07,4.2076971233958216e-05,289.36250534057615,3.2550060798724485,4.26041009253216e-05,289.0675406138102
2002.0,6.5,8.497636043556615e-07,4.9773107245224914e-05,289.4589879353841,3.0716922869284944,5.062289365014294e-05,289.19843839009604
2003.0,6.5,3.449777772942392e-07,4.0650157086474795e-05,289.28125966389973,2.970261531074842,4.0995134088461786e-05,288.97821362813323
2004.0,6.5,1.3710928055116665e-06,3.630784264222105e-05,289.6101027170817,3.015169094999631,3.767893547130068e-05,289.36620521545416
2005.0,6.5,1.2663337733346643e-06,4.316265679638794e-05,289.38063901265457,3.0388647049665445,4.442900760371534e-05,289.28090667724604
2006.0,6.5,3.434283801467356e-07,4.268999564089882e-05,289.9606922149658,3.0458864718675613,4.303341133227908e-05,289.7784877777099
2007.0,6.5,3.9531898175330453e-08,4.6362688512620785e-05,290.07687695821124,2.9945712635914483,4.640220935433111e-05,289.92991167704264
2008.0,6.5,2.9145696764487645e-06,4.251803899345911e-05,289.0593369801839,2.871792496244112,4.543264946050839e-05,289.15246429443357
2009.0,6.5,4.777367290385396e-07,4.6394134452990926e-05,289.60157330830896,2.867267077167829,4.687190307019287e-05,289.43574333190924
2010.0,6.5,1.571384324054274e-06,4.7810184083611294e-05,289.08633104960126,3.083677752812703,4.9381545531446135e-05,288.9995869954427
2011.0,6.5,4.6634486556747703e-07,4.25741781834669e-05,289.0965986887614,3.0827186932166417,4.304049148800004e-05,288.77764956156415
2012.0,6.5,6.964427434160333e-07,5.092951836710806e-05,289.0771175384521,3.3533848792314527,5.162596475353592e-05,288.9270816802978
2013.0,6.5,2.4680083369569655e-07,4.055585579484008e-05,289.73894297281896,3.3102159529924395,4.0802661991771554e-05,289.7712167104085
2014.0,6.5,4.512970998423367e-07,4.4750238204945464e-05,289.63098805745443,3.261609846353531,4.520154408282906e-05,289.5046225229899
2015.0,6.5,1.3649753767090248e-09,6.264047634279753e-05,289.84250373840325,3.8222994645436597,6.264183955408951e-05,289.99580802917484
2016.0,6.5,2.940904661556202e-08,6.491760855548515e-05,290.0633775075276,3.7185593287150063,6.494700241622317e-05,290.1800867716471
2017.0,6.5,3.4946236645202095e-10,4.7386211345686506e-05,290.3584878285726,3.4067412485678994,4.738655914403959e-05,290.6268407185873
