Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature
2000.0,6.5,7.549572950867519e-07,3.958522635372219e-05,289.23181406656903,3.0231952456136546,4.034018511826313e-05,288.85637013117474
2001.0,6.5,6.84866049578912e-07,3.8354467783108255e-05,289.2115035057068,2.9930592911938825,3.903932096941768e-05,288.92257102330524
2002.0,6.5,7.749501797713517e-07,4.661344370996782e-05,289.4059034983317,2.9164972379803658,4.738840398014569e-05,289.1130628585815
2003.0,6.5,4.419130290820676e-07,4.1659719426453044e-05,289.1058249473572,2.9439489133656025,4.210161866306331e-05,288.86116631825763
2004.0,6.5,1.5660335328865464e-06,3.440474053917342e-05,289.5565061569214,2.921863406896591,3.597079580922961e-05,289.3591772715251
2005.0,6.5,1.215178270591588e-06,4.203988266719231e-05,289.2726713816325,2.97788110251228,4.3255020417613345e-05,289.2968344688416
2006.0,6.5,4.246008981657427e-07,4.037527001680511e-05,289.84750080108637,2.95549135034283,4.079985952287757e-05,289.76580508550006
2007.0,6.5,4.6641059998706276e-08,4.4063836043051197e-05,289.97027524312335,2.8813136561463275,4.411047196602643e-05,289.8890968958537
2008.0,6.5,3.3320014451258353e-06,3.98446133494564e-05,288.828408241272,2.7735150270164013,4.317662402542055e-05,289.06526311238605
2009.0,6.5,5.253531011505224e-07,4.540969188582267e-05,289.4369187355041,2.7872729934751987,4.593505990394912e-05,289.38539203008014
2010.0,6.5,1.469345383734814e-06,4.6074004875625484e-05,288.93182770411175,3.0843483644227185,4.7543368789130604e-05,288.9639835357666
2011.0,6.5,2.836517291847363e-07,3.994897666063461e-05,288.84866189956665,3.096104913701614,4.023261931488757e-05,288.60189421971637
2012.0,6.5,5.645351696855391e-07,4.636668669869929e-05,288.84756835301715,3.402154702693224,4.693121175591841e-05,288.7998531659444
2013.0,6.5,2.738771006207188e-07,3.6436143242705534e-05,289.4653662045797,3.264135709653298,3.6710023110231305e-05,289.58491309483844
2014.0,6.5,3.545413895782862e-07,4.244149543334667e-05,289.4119129180908,3.259364033738772,4.279604575548509e-05,289.3752595583598
2015.0,6.5,5.604658679433244e-09,6.103094876645324e-05,289.6268032391866,3.670323924471935,6.103654707582488e-05,289.8968764940898
2016.0,6.5,7.603021486522754e-08,6.41081133399742e-05,289.7916609446208,3.6013348201910653,6.418413073561169e-05,290.01690276463825
2017.0,6.5,1.698206189328551e-08,4.4179157711710104e-05,290.0271677970886,3.2985223506887755,4.419614582692096e-05,290.37240139643353
