Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678,Domestic Tourist,Domestic Tourism Comsumption (YiYuan),GDP (YiYuan),GDP Per Capita,A-Level Travel Spot,5A Spot,4A Spot,Nature Reserve,National Forest Park,Travel Agency,Star Hotel
2000,288.4639886,2.765668242,5.11E-05,288.3467569,299.9233606,276.4137299,3.594484639,2.223101683,0.000123246,8.99E-06,299.7837567,276.0391071,298.1850954,2.268720473,8.33E-05,298.0795435,2305,190,1382.5616,22342,,,,,,181,
2001,288.7062571,2.727968458,4.84E-05,288.7326443,300.6865057,278.0528717,3.375188432,1.991885509,0.000125657,1.30E-05,300.6917175,277.7399713,297.9568905,2.182940817,9.02E-05,298.0610301,2510,218.9,1568.0138,25074,,,,,,198,144
2002,288.8728737,2.729178309,5.91E-05,288.9845361,299.0445355,278.3909491,3.15231041,2.217265785,0.000114885,2.01E-05,299.3180005,278.5657629,298.146842,2.371435414,8.90E-05,298.4352822,2652,254.8,1781.8302,28150,,,,,,205,164
2003,288.7946823,2.698696115,4.28E-05,288.7718467,301.7830566,275.3649878,3.212526851,2.285534172,8.88E-05,7.66E-06,302.1069714,275.889715,299.5451444,2.422507639,6.34E-05,299.649656,2776,290.9,2099.7744,32819,,,,,,246,178
2004,288.7758631,2.483573422,4.00E-05,288.8011983,300.2196063,276.3878479,2.970470924,1.971354103,8.82E-05,4.65E-06,300.5300793,276.2261353,298.4196956,2.196692862,5.58E-05,298.7153699,3016,361.2,2543.1796,39293,,,,,,290,193
2005,288.4901856,2.403599255,4.93E-05,288.6296537,300.4672247,273.6166614,2.938367529,2.03635494,8.70E-05,1.78E-05,300.9663849,274.3834174,299.117502,2.301276107,7.18E-05,299.389637,3266,403.6,2943.843,44871,,,,,,321,230
2006,289.0786398,2.236842637,4.84E-05,289.1263866,300.2750446,278.3439807,2.884177856,1.857022231,0.000102997,6.72E-06,300.0405762,278.1230621,299.150413,2.061246533,6.96E-05,299.0737004,3682,471.2,3443.4972,51878,,,,,,341,240
2007,289.1883257,2.276932986,4.74E-05,289.1509485,300.863114,276.5093298,2.502903256,1.99821806,7.71E-05,8.07E-06,300.8324341,276.7748901,299.0758299,2.115910292,7.24E-05,298.7908132,4112,548.6,4104.0117,61258,,,,,,377,250
2008,288.1028211,2.118127063,4.87E-05,288.4665016,300.326582,272.6581995,2.654710383,1.639107993,0.000127594,4.87E-06,300.0920465,275.6582013,298.1602132,1.875293365,9.51E-05,298.0082709,4552,617.2,4788.9748,60414,,,,,,412,297
2009,288.6837566,2.180786631,4.86E-05,288.6860189,299.6116296,275.7051703,2.674583306,1.870489748,9.07E-05,4.78E-06,299.4727325,276.1366803,298.8215765,2.00151631,8.74E-05,298.5740017,5094,708.9,5111.4007,63471,,,,,,443,255
2010,288.1800011,2.103802201,6.46E-05,288.2074862,300.7927411,277.4430475,2.780875592,1.61008491,0.000106256,6.51E-06,300.4966467,277.8274774,298.2322237,1.768434244,8.69E-05,297.9903717,6305,910.9,5965.7106,70024,,,,,,516,236
2011,288.2053592,1.970127726,4.63E-05,288.1831997,300.4092163,272.4749524,2.088226907,1.743218334,0.000179468,1.43E-05,300.0169678,272.6985077,298.8105101,1.820321491,0.000113734,298.454396,7181,1063.8,7037.28,80689,,,,,,523,230
2012,288.0716429,2.006683899,6.40E-05,288.173712,300.2294391,276.4234784,2.325733321,1.613094027,0.000118458,1.65E-05,300.3147449,276.3940845,298.3897856,1.968344294,9.11E-05,298.3504464,8237,1253.2,7833.62,89323,,,,,,,150
2013,288.780393,1.990134074,4.94E-05,289.0828195,300.8473999,276.255824,2.368156261,1.716039221,0.000127687,1.30E-05,301.3759625,276.6790637,299.2308911,2.063542988,7.58E-05,299.6045186,9409,1469.9,8398.58,95190,,,,,,605,157
2014,288.7337477,1.863270283,5.07E-05,288.841409,299.5253937,276.9947937,2.160894918,1.492643034,0.00010444,3.19E-06,299.414527,277.4286877,297.8029016,1.581329102,9.95E-05,297.6386428,10606,1743.9,9206.2,103813,,,,,,645,176
2015,288.9041676,1.814821011,6.97E-05,288.9701675,298.1369904,278.380882,2.095463436,1.598931825,0.000167942,1.95E-05,298.2952783,278.6199506,297.426405,1.921609554,0.000114288,297.5450441,12040,2019.7,10050.2,112268,,,,,,659,167
2016,289.2212012,1.82398241,7.24E-05,289.4683346,300.2423413,277.4009314,1.978806345,1.671246524,0.000154275,1.92E-05,300.7047565,277.2203656,298.6603898,1.769958386,8.78E-05,299.0653768,13696,2362.6,11314,124286,,,,,,692,160
2017,289.3033489,1.725582284,5.12E-05,289.5465623,301.116048,278.852973,1.963584354,1.506854148,0.000157131,8.55E-06,301.7500067,279.2742181,298.8330096,1.724878294,9.26E-05,299.2299343,15884,2802.1,12556.2,134607,,,,,,,
2018,289.4735745,1.701624082,5.30E-05,289.9425812,300.9879321,276.1836255,2.01507163,1.390054562,8.03E-05,1.91E-05,301.1936627,276.8658142,299.261817,1.743353265,7.71E-05,299.5201038,17983,3335.6,13509.15,140180,109,3,,,,848,
