Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Domestic Tourist,Domestic Tourism Comsumption (YiYuan)
2000,289.4828616,2.728034791,3.64E-05,289.3297516,301.3367666,275.5133219,3.418473848,2.170052902,9.47E-05,7.69E-06,301.7220734,274.7118327,,
2001,289.3563415,2.786063184,2.85E-05,289.2697927,302.2233938,276.7869934,3.482571991,2.105889209,5.68E-05,2.38E-06,302.3007528,276.471283,,
2002,289.4368956,2.716171136,4.29E-05,289.3809617,300.8860118,277.3634074,3.159842682,1.969273837,9.22E-05,8.36E-06,301.2632029,277.0074656,,
2003,288.6147399,2.631633101,4.38E-05,288.4131713,300.8086517,275.379068,3.317653211,2.109251312,0.000110847,4.66E-06,301.039266,275.0159932,,
2004,289.3334717,2.570247369,3.36E-05,289.2107069,301.0375875,275.7903992,3.201171708,2.025020774,6.89E-05,1.44E-06,301.7543955,275.5424113,,
2005,288.9866546,2.611184889,4.64E-05,289.1414965,301.0613749,273.2535594,3.196343708,2.135574102,0.000116288,3.11E-06,301.5894928,273.8033112,,
2006,289.6345296,2.510754002,3.47E-05,289.8116715,301.1273794,277.1173808,3.255222503,1.851941315,0.000101095,6.11E-06,301.1220072,276.9222107,,
2007,289.7240245,2.52481373,3.82E-05,289.8369628,300.4297811,276.3849681,3.010834797,2.15645047,0.00012612,4.99E-06,300.4513804,276.7507904,,
2008,288.6168904,2.483231846,4.00E-05,289.1544089,301.0027212,272.7535248,3.044002016,1.91888537,0.000117374,3.78E-06,300.8303853,274.4991984,,
2009,289.0962574,2.494904824,3.66E-05,289.29728,300.7636912,275.6234843,3.198449381,2.046150855,9.10E-05,4.82E-06,300.5945984,276.1775177,,
2010,288.736934,2.681153474,4.10E-05,288.9921182,300.9063914,276.8014211,3.568972953,1.964930646,0.000108489,2.70E-06,301.1634603,277.3671021,,
2011,288.8918921,2.730134432,2.92E-05,288.8762455,300.5572072,272.9870107,2.97573456,2.38572077,8.99E-05,2.41E-06,300.3639547,272.718927,,
2012,288.826319,2.918781794,3.67E-05,289.1457688,301.5935832,276.201886,3.553929464,2.506284269,8.47E-05,1.56E-05,301.7544017,276.4948873,,
2013,289.4856093,2.912206029,3.24E-05,289.9752471,302.1658427,275.968281,3.597426287,2.479229132,6.61E-05,8.59E-06,303.0107808,276.8210622,,
2014,289.3772697,2.765828086,3.54E-05,289.6483364,299.6420146,277.2118968,3.394713346,2.16913592,8.54E-05,1.14E-06,299.7766693,277.907136,,
2015,289.3876617,3.233126347,4.63E-05,289.897151,299.1083476,278.1566589,3.494266224,2.867575912,0.000139064,9.48E-06,299.9412272,278.8246714,,
2016,289.5195908,3.1871215,5.07E-05,289.9831969,300.6039429,276.8308594,3.6019255,2.85753576,0.000110365,7.62E-06,301.5505086,277.0147898,,
2017,289.7656898,2.996780322,3.96E-05,290.3791836,301.8126373,278.5034403,3.408777714,2.613444293,8.90E-05,3.47E-06,302.9694631,278.6806966,,
2018,289.9210511,3.12345172,4.03E-05,290.5320455,302.2169057,275.2296743,3.543726301,2.709225285,7.72E-05,5.91E-06,303.0019938,275.3029226,,
