Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678,Domestic Tourist,Domestic Tourism Comsumption (YiYuan),GDP (YiYuan),GDP Per Capita
2000,289.3019257,3.072733273,3.77E-05,289.0530089,301.178981,275.5559021,3.667083836,2.441415882,9.21E-05,6.92E-06,301.3707916,274.7742554,299.9276871,2.572547674,6.56E-05,299.7434855,1501,137.66,1073.54,19838
2001,289.2765107,3.072462135,3.25E-05,289.1118326,302.3396652,276.9345428,3.900530159,2.341782975,7.06E-05,3.61E-06,302.210556,276.6424423,299.3399643,2.44838229,6.58E-05,299.1343714,1730,160.8684,1218.51,22197
2002,289.491994,2.962758654,4.12E-05,289.2626656,301.0766052,277.7109665,3.584916604,2.199777877,7.99E-05,1.13E-05,301.0249054,277.4921509,299.6999878,2.503391298,6.13E-05,299.5126994,2076,194.51478,1385.14,24816
2003,288.842836,2.890148629,4.17E-05,288.6403039,301.2107834,275.2324692,3.640905893,2.185508013,0.000112001,4.98E-06,301.3784164,274.9961685,300.0740128,2.439001274,8.30E-05,299.8996297,2206,217.6,1690.77,29780
2004,289.5355405,2.852120632,3.26E-05,289.4060109,301.5142807,275.8535187,3.634375727,2.068028033,6.34E-05,2.23E-06,301.9534821,275.6723953,299.7324549,2.343405684,5.53E-05,299.8269531,2800,277.9,2087.1,35770
2005,289.0892911,2.879884495,4.42E-05,289.1798121,301.209494,273.1661697,3.640778232,2.471310246,0.000118465,5.42E-06,301.4371262,273.9982758,300.4363698,2.613327912,9.01E-05,300.6019516,3220,333,2478.26,36112
2006,289.6494377,2.799270178,3.88E-05,289.7184448,301.3840256,277.4697861,3.769508207,2.199347234,0.000119967,4.96E-06,301.192894,277.3705795,300.7798416,2.405245459,7.72E-05,300.7008611,3800,408.08,2855.81,40072
2007,289.7969231,2.767448198,3.95E-05,289.7691882,300.9578766,276.7072876,3.424872625,2.200317597,0.000136994,4.96E-06,300.618364,276.9989334,299.940716,2.447457329,7.86E-05,299.4815297,4489,530.51,3381.18,45743
2008,288.5867718,2.697442961,3.90E-05,289.0066697,301.4233078,272.8957428,3.182148957,2.126506305,9.81E-05,5.41E-06,301.0055878,274.8806931,299.098022,2.447817775,8.48E-05,298.7876872,4960,654,3859.57,50327
2009,289.1669874,2.734140497,4.03E-05,289.2701794,300.7746887,275.5172028,3.542980623,2.185477257,0.000100662,4.03E-06,300.4466003,275.9815262,300.2609187,2.39373796,8.03E-05,299.9346466,5520,765,4287.25,55290
2010,288.6255809,2.844531771,4.20E-05,288.7318066,301.3982574,276.6392868,3.815395772,2.121355045,0.000114826,2.97E-06,301.2288452,277.1381699,299.9297323,2.207956449,6.38E-05,299.5232925,6366,885.95,5198.2,66132
2011,288.8640001,2.758012242,3.44E-05,288.721573,300.5915665,272.8857422,3.079838741,2.426757896,0.000113478,2.59E-06,300.2592422,272.5798981,299.5081156,2.512565394,9.71E-05,299.0832921,7181,1028,6230.2,76263
2012,288.7362489,3.004018198,4.30E-05,288.8818924,301.479808,276.2882401,3.64094559,2.505243278,0.000108379,1.62E-05,301.375264,276.4132141,300.2633977,2.831118115,7.50E-05,300.0052114,7950,1169.01,7306.54,89816
2013,289.3774605,2.939085742,3.42E-05,289.693705,301.7938492,276.1619812,3.733508301,2.483319724,7.14E-05,1.14E-05,302.4465408,276.7404938,300.4242742,2.864440529,5.55E-05,300.7378672,8674,1336.22,8199.49,98011
2014,289.3199523,2.871512599,3.66E-05,289.433147,299.7071579,277.0905945,3.832153833,2.141993856,9.19E-05,3.36E-06,299.6576675,277.6993393,298.7926834,2.22867835,6.59E-05,298.514857,9419,1470,8956.05,107545
2015,289.3533932,3.417329285,5.29E-05,289.7973183,299.047374,278.0521332,3.746895945,2.942206335,0.000157349,1.24E-05,299.7683075,278.6404984,298.4840235,3.490152303,0.000102556,298.9590607,10175,1650.78,9861.56,118171
2016,289.4660632,3.32375185,5.64E-05,289.8605757,300.701796,276.6591965,3.781836295,2.816581213,0.000109966,1.02E-05,301.1812271,276.8964706,299.485581,2.912411133,8.19E-05,299.8689148,11142,1862.85,10503.02,127264
2017,289.7345505,3.051531576,4.04E-05,290.2650338,302.1591248,278.5506485,3.296811783,2.724847066,9.70E-05,7.04E-06,303.1919754,278.739563,300.0669281,3.029221491,7.65E-05,300.6996694,12221,2121,11715.1,141103
2018,290.0068665,3.121927055,4.20E-05,290.4771303,302.3638306,275.4647797,3.535551488,2.630898905,8.48E-05,7.00E-06,302.657991,275.7683655,301.0173014,3.261639965,7.03E-05,301.2986298,13328,2401.77,12820.4,152886
