Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Domestic Tourist,Domestic Tourism Comsumption (YiYuan)
2000,289.5128866,3.361081301,4.38E-05,289.220658,301.7477036,276.8871979,4.45924983,2.606478345,0.00010303,8.45E-06,301.345372,276.3788986,1496.05,125.22
2001,289.3625053,3.25500608,4.26E-05,289.0675406,302.2121277,277.8000183,4.018030131,2.500603664,0.000120879,1.07E-05,301.6108002,277.6439819,1671.92,152.11
2002,289.4589879,3.071692287,5.06E-05,289.1984384,300.3788574,278.6259033,3.802194822,2.50975771,8.16E-05,2.06E-05,299.8311584,278.6898727,2010.1,175.33
2003,289.2812597,2.970261531,4.10E-05,288.9782136,302.3730225,275.5182434,3.632417977,2.249520099,0.000102073,1.17E-05,301.8742188,275.6541702,2350,211.87
2004,289.6101027,3.015169095,3.77E-05,289.3662052,302.1766769,276.112912,3.650151598,2.4638345,7.03E-05,4.84E-06,301.7013153,276.0799057,3157,295.69
2005,289.380639,3.038864705,4.44E-05,289.2809067,301.7095734,274.6149658,3.722184503,2.555755174,8.84E-05,1.39E-05,301.549025,274.9106949,3657,380.28
2006,289.9606922,3.045886472,4.30E-05,289.7784878,301.9072403,278.3544769,3.786427867,2.472028685,0.00010274,4.81E-06,301.1047943,278.0447708,4135.34,465.46
2007,290.076877,2.994571264,4.64E-05,289.9299117,302.0309769,277.3588852,3.703375089,2.183986962,0.000113539,7.51E-06,301.3835938,277.6912338,4792.39,570.34
2008,289.059337,2.871792496,4.54E-05,289.1524643,302.28116,274.0394852,3.469545078,2.109466863,0.000126175,1.02E-05,301.4929947,276.1072495,5286.88,665.38
2009,289.6015733,2.867267077,4.69E-05,289.4357433,300.7326096,276.1054352,3.431842244,2.241552675,0.00010425,7.64E-06,300.152269,276.5041,5869.67,772.79
2010,289.086331,3.083677753,4.94E-05,288.999587,302.2946518,277.484082,4.163838506,2.237459338,0.000100577,4.80E-06,301.6190292,277.7900558,7004.88,917.76
2011,289.0965987,3.082718693,4.30E-05,288.7776496,301.656105,273.7009567,3.435458553,2.714782107,0.000149489,7.21E-06,300.731749,273.6164169,7775.38,1084.82
2012,289.0771175,3.353384879,5.16E-05,288.9270817,301.6383423,277.1950134,4.258324623,2.746997344,9.73E-05,1.48E-05,300.9562897,277.1880585,8624.43,1254.38
2013,289.738943,3.310215953,4.08E-05,289.7712167,302.8069885,277.1470993,3.760644209,2.836151218,9.24E-05,1.65E-05,302.8100632,277.4346985,9416.33,1419.09
2014,289.6309881,3.261609846,4.52E-05,289.5046225,300.235791,278.4238403,4.261975265,2.424917269,0.000106798,4.64E-06,299.683847,278.8783783,10028.84,1574.81
2015,289.8425037,3.822299465,6.26E-05,289.995808,299.7024216,279.0158798,4.29298842,3.331460047,0.000172094,2.43E-05,299.8000107,279.4185608,10605.45,1728.79
2016,290.0633775,3.718559329,6.49E-05,290.1800868,301.6718231,277.6380844,4.22702384,3.170149744,0.000126774,1.72E-05,301.5418381,277.8572952,11300.37,1932.5
2017,290.3584878,3.406741249,4.74E-05,290.6268407,303.2694473,279.5747604,3.928989208,2.811022353,0.000103295,1.09E-05,303.600293,279.6613495,12046.42,2161.32
2018,290.7119445,3.347111608,5.01E-05,290.9777767,302.6881805,277.1943176,4.074422419,2.698753047,9.91E-05,2.24E-05,302.4722198,277.5924026,12847.67,2416.48
