Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678,Domestic Tourist,Domestic Tourism Comsumption (YiYuan),GDP (YiYuan),GDP Per Capita,A-Level Travel Spot,5A Spot,4A Spot,Nature Reserve,National Forest Park,Travel Agency,Star Hotel
2000,289.2318141,3.023195246,4.03E-05,288.8563701,301.282444,276.3832417,3.835682005,2.397535622,9.22E-05,8.08E-06,300.9001331,275.7868099,299.9103978,2.509468322,6.32E-05,299.3233789,1127.77,101.75,1176.5434,27109,,,,,,55,
2001,289.2115035,2.993059291,3.90E-05,288.922571,302.337122,277.2968483,3.771376923,2.276442066,0.000101215,6.90E-06,301.8306541,277.0551949,299.1665084,2.356983354,7.99E-05,298.6681754,1167.42,101.72,1328.6491,30526,,,,,,68,81
2002,289.4059035,2.916497238,4.74E-05,289.1130629,300.7131767,278.0864677,3.714624241,2.211899847,8.16E-05,1.77E-05,300.2215538,278.1813545,299.4670862,2.500130455,6.66E-05,298.9556847,1501.27,138.65,1534.1334,35087,,,,,,75,74
2003,289.1058249,2.943948913,4.21E-05,288.8611663,302.0146008,275.2285633,3.647291958,2.21340616,0.000111203,9.19E-06,301.8391285,275.4009666,300.4137656,2.424148227,7.62E-05,299.9566994,1765.16,167.33,1833.4524,41616,,,,,,81,72
2004,289.5565062,2.921863407,3.60E-05,289.3591773,301.8509731,276.021162,3.731827259,2.205618754,6.84E-05,3.52E-06,301.7614269,275.9499664,299.933761,2.433530172,5.18E-05,299.7093506,2201.56,212.46,2250.642,51123,,,,,,52,67
2005,289.2726714,2.977881103,4.33E-05,289.2968345,301.4788361,273.7874413,3.722251445,2.465946689,9.61E-05,9.57E-06,301.5748749,274.4980431,300.7361113,2.77446125,7.30E-05,300.6405958,2637.5,280.07,2808.84,51592,,,,,,99,72
2006,289.8475008,2.95549135,4.08E-05,289.7658051,301.6300869,278.0000515,3.829045057,2.391166776,0.000108393,4.09E-06,301.1195755,277.8974037,300.8352248,2.637165189,7.02E-05,300.4720459,3032.89,351.49,3310.88,58586,,,,,,97,66
2007,289.9702752,2.881313656,4.41E-05,289.8890969,301.6748619,277.0261326,3.592845857,2.109319605,0.000117554,5.20E-06,301.2866669,277.3651524,300.2697156,2.505411518,7.60E-05,299.6971035,3350.76,418.04,3879.7,66454,,,,,,106,66
2008,288.8284082,2.773515027,4.32E-05,289.0652631,301.9317932,273.3676548,3.237247989,2.18305558,0.000114645,8.07E-06,301.3273506,275.804842,299.3310706,2.492891769,9.04E-05,298.852644,3682.44,496.84,4460.62,74877,,,,,,112,63
2009,289.4369187,2.787272993,4.59E-05,289.385392,300.7059422,275.8045025,3.486903608,2.232443273,0.00010536,5.73E-06,300.2503452,276.2732086,300.2800611,2.448869184,8.92E-05,299.7561372,4310.48,595.12,4947.59,81728,,,,,,115,76
2010,288.9318277,3.084348364,4.75E-05,288.9639835,301.7820873,277.0232372,4.355698466,2.216777071,0.000114365,5.93E-06,301.3880634,277.45895,299.9046116,2.31908677,7.27E-05,299.3778191,5067.27,703.92,5779.21,91943,,,,,,132,70
2011,288.8486619,3.096104914,4.02E-05,288.6018942,300.839098,273.4776478,3.527547076,2.595875844,0.000154097,4.82E-06,300.193037,273.3915939,299.3462957,2.741223276,0.00011651,298.7271328,5725.23,844.83,6880.15,106183,,,,,,143,65
2012,288.8475684,3.402154703,4.69E-05,288.7998532,301.3239403,276.8976898,4.399922401,2.832274511,9.92E-05,1.78E-05,300.9268665,276.9306087,299.9948215,3.21887664,7.39E-05,299.5324402,6365.25,974.92,7446.37,115468,,,,,,152,65
2013,289.4653662,3.26413571,3.67E-05,289.5849131,302.0907536,276.7675228,3.780672148,2.735713735,8.19E-05,1.40E-05,302.3156452,277.1741657,300.3116487,2.929182912,5.55E-05,300.3109461,6993.57,1100.4,7919.85,122318,,,,,,156,64
2014,289.4119129,3.259364034,4.28E-05,289.3752596,299.7250633,278.1337662,4.301634893,2.42753318,0.000111331,3.42E-06,299.4010906,278.6055641,298.6510595,2.5581513,8.34E-05,298.1957372,7573.72,1229.85,8358.98,128756,,,,,,165,55
2015,289.6268032,3.670323924,6.10E-05,289.8968765,299.480135,278.5704956,4.061608598,3.322589085,0.000181295,2.19E-05,299.8745975,279.0981197,298.7345689,3.666759834,0.000112333,298.9050229,8043.33,1356.25,8685.91,133515,,,,,,171,49
2016,289.7916609,3.60133482,6.42E-05,290.0169028,301.3601437,277.2555676,4.113961309,3.019887656,0.000127075,1.67E-05,301.538311,277.5006866,299.8834909,3.172778552,9.37E-05,299.9819838,8586.03,1518.91,9210.02,143985,60,3,27,,,184,42
2017,290.0271678,3.298522351,4.42E-05,290.3724014,302.5817623,279.099926,3.685939834,2.621213868,9.37E-05,1.01E-05,303.2184811,279.1973553,300.3702323,2.973271166,7.67E-05,300.7025973,9179.34,1702.64,10511.8,160706,60,3,,,,204,41
2018,290.2726372,3.272620362,4.72E-05,290.5969006,302.3448219,276.3845482,3.923500046,2.630503066,9.68E-05,1.31E-05,302.3545818,276.7236652,301.0959574,3.496693154,7.28E-05,301.1084277,9817.68,1906.02,11438.62,174270,53,3,27,,,229,40
